text,sentiment,film_id
sugestivní a tísnivá atmosféra nepřátelského města jako kontrast proti duši vnitřně krásného člověka lynch občas v lidské zrůdnosti jde až za hranici divácké nepříjemnosti a očividně bezbranného jedince nechává trpět až příliš často ale přesto mě nakonec dostává hlavně protože finální adagio for strings patří mezi nejtesknější scény co jsem kdy viděl,positive,6251
on se nenarodil splácali ho na velitelství z pozůstatků mrtvejch vojclů možná je to trošku přehnaný nicméně kapitán miller se tak chová a jeho odhodlání splnit rozkaz jistě naválo do řad us army další zájemce o adrenalin a ustřelenou končetinu já tedy války nemám rád a dle mého názoru by je měl rozhodovat souboj týmů složených z politiků generálů a majitelů zbrojovek lid by se alespoň pobavil a žádná škoda by nemohla vzniknout přesto mne tento vstup usa do války zaujal donutil mě uhýbat před střelbou plazit se v blátě občas mrsknout směrem k obrazovce nějaký ten granát a fandit aby poslední z rodu ryanů byl nalezen v reprodukčně schopným stavu,positive,8652
david lynch dokáže i z toho nejobyčejnějšího příběhu udělat krásný film v téhle hodně zvláštní road movie jde pouze o lidský příběh který je ale neuvěřitelné poutavý a zahřeje vás u srdce,positive,6258
až na třetí shlédnutí jsem tomuto filmu přišel na chuť příběh muže který utíká z vězení do něhož ho dostala láska k barové tanečnici je propojen s osudy lidí činžáku v němž najde podnájem vězňova milující matka trpělivě vyčkávající než si její syn odpyká zasloužený trest ale která je pro ostatní nájemníky záhadou všichni touží vědět co ukrývá v kabele již nosí stále s sebou věří se že v něm ukrývá své úspory či šperky a tak se mnozí legálně i nelegálně snaží s ženou o její bohatství podělit nebo oloupit tragická chvíle nastává ve stejné chvíli kdy se syn vracá domů kde už na něho ovšem čekají kriminalisté výborný výkon olylie beníškové i knížete emama fialy,positive,5358
dlouho jsem se stranil komentovat tuto trilogii protože nenacházím slov které by ji přesně vystihovaly je to pravděpodobně to nejúžasnější co jsem doposud viděl filmy jako predátor nebo terminátor jsou sice obrovskými kulty ale tato trilogie si mě získala po všech stránkách naprosto famózní podívaná všechny díly jsou pro mě stejně dobré bombastický příběh se skvělými herci triky napětím přírodou atmosférou a akcí a co teprve ta hudba nejlepší z nejlepších,positive,4712
hned při úvodní scéně jsem měl chuť to vypnout ale chtěl jsem se dozvědět pravé pohlaví blonďatého hermafrodita s copánkem a náušnicí přiznávám že mě většina hlavních postav donutila se smát tomu jak jsou trapní a jak celý příběh kde se desítky ozbrojených ninjů místo nějaké banky rozhodnou přepadnout raději zábavní park v průběhu celé supr čupr akční komedie jsem pociťoval ztrátu mých mozkových buněk jelikož mi nedávalo smysl jak můžou malé děcka přeprat ozbrojené dospělé lidi a pak jsem si vzpomněl no jóóó vždyť oni měli na začátku ninja výcvik hodlám věřit tomu že pro malé děti to může být dobrá zábava ale pro mě to byl absolutní bullshit který by nabyl na významu kdyby to byla parodie bohužel to tvůrci mysleli vážně r i p,negative,74686
fleischer tu přitlačil na komedii a byť jsem si chvíli zvykal nakonec se mi dvojka líbila i o chlup o hvězdu ale ne víc než první film přispěly k tomu i další postavy zejména naprosto přesná blondýna maddison no dobře je to trochu laciný ale naštěstí tu rozhodně nejde o žádný pomosun promyšleného děje kupředu ale právě o tu bohapustou zábavu slepenou jednoduchým příběhem tedy další pohodovej cestovatelskej film a naštěstí nezkaženej žádnýma pokusama cokoliv či kohokoliv čímkoliv obohatit to nedejbože a já se jdu léčit z té pomotidy a vezmu si raději rovnou čtyři tablety jednu za každé písmeno ha lepší konec komentáře než u jedničky,positive,277532
jako malá jsem tuhle pohádku nesnášela zkusila jsem ji teď po letech a je to dobré nestárnu nelíbí se mi pořád,negative,5368
i když hrál hopkins jen chvíli byl naprosto prvotřídní pozvedl tento skvělý thriller ještě o něco výš svým oscarovým výkonem,positive,2356
lynch si zde mistrně pohrává s kontrasty a to s černou a bílou jak je jeho oblíbeným zvykem už jen úvodní záběr na peggy jejíž bílá tvář notně kontrastuje s obklopující černočernou tmou předesílá preferovanou texturu zajímavé jsou kontrasty na úrovni zvuku a samozřejmě zvuk samotný kontrast je vedený například využitím proměny dětského popěvování za mužský hlas zpívající operu zvukových doprovodů je napříč abecedou opravdu hodně ať už je to zvuk větru nervydrásající a nechutné kvílení připomínající dítko z mazací hlavy různé ruchy v pozadí anebo dívenka zpívající abecedu což je mimochodem velmi úderná a mrazivá hororová scéna vícezde filmografie davida lynche rané krátkometrážní snímky,positive,6245
obávám se že hry kašparu nebudou blízké mému srdci před časem jsem zkusila jejichaudienci v klubovně v jidřišské ta byla vcelku příjemná ale jejich vidění vančury nekonvenuji hra má velmi nápaditou scénu vnímání publika je hodně vstřícné ale jako celek mi to nefungovalo herecky vysloveně slabé text málo pointovaný hudební vložce zcela neživotné o bonusovou verzi zájem nemám,negative,277541
spojení těchto dvou barbie hereček je pro mě vážně vražednou kombinací ze které nevzešlo krom pár maličkostí snad nic dobrého,negative,223872
boj hodného majitele zábavního parku proti zlým úředníkům a jestliže se hlavní hrdina snaží zlegalizovat svůj zábavní podnik který už stojí tak to znamená že ho postavil načerno logika ve filmu nemá hlavní roli ani kvalitní provedení prostě ten ochotnický přiznaně amatérský styltoulovéje jasný celý film je kombinací proma a samoobhajoby skutečného provozovatele toho parku a jedinou věc kterou beru vážně je slušné obsazení a skvělýnovotný bez něj by smysl existence toho filmu nebyla přesto dám dvě hvězdy protože sám jsem měl taky problém s úředníkama a je fakt že když lžou tak se spravedlnosti člověk moc nedočká nebo aspoň ne rychle natož aby ten úředník nebyl beztrestný,negative,1518669
poslední věta filmu by se dala ironicky dát do souvislosti s více než tříhodinovou délkou tohoto díla konec legrace zelená míle je velice působivá podívaná s ohromujícími hereckými výkony pěknou atmosferickou hudbou thomase newmana a režisér darabont prostě umí dělat emotivně silné filmy na pět hvězdiček tento krásný film nedosáhl z jediného důvodu konec nezvládl vysoko nasazenou laťku měl překvapivě bagatelizující a jednoduchou pointu uznávám že se může jednat o vadu kingovy předlohy kterou jsem nečetl ale scénář je holt součást filmu po celý film mi totiž vrtaly hlavou zajímavé otázky spojené s dějem a hlavními postavami a místo toho aby mi jeho konec dal prostor nad nimi přemýšlet pokusil se mi na ně odpovědět kýčem,positive,2292
skoda miniatury ci prvky z budoucnosti jsou na urovni sve doby ale dej ci spise nedej a nehrani hlavnich hrdinu to zenou uspesne do zadele,negative,26960
ve svém profilu mám uvedeno že nemám rád akční filmy ale vlastně to není tak úplně pravda našla by se celá řada výjimek které potvrzují pravidlo především ty které se neberou vážně jako například série smrtonosné pasti rambo je ovšem jiný případ je to doslova ztělesnění prvků a žánrových klišé které se mi na akčních filmech nelíbí je to jeden z prvních filmů ve svém subžánru a ve své podstatě tuto kategorii filmů definoval a je považovaný za její symbol nemám potřebu polemizovat s kultem v zásadě souhlasím s tím že je to nejhodnotnější kousek filmové série o nezničitelném bojovníkovi z džungle a zároveň jediný film série který se dá brát aspoň trošku vážně resp má z hlediska filmového umění jakous takous hodnotu scénář i režie se ještě snaží o určitou psychologii postav a ve vedlejších rolích se vyskytuje několik slušně hrajících herců mimochodem richard crenna to určitě není ale brian dennehy si plné uznání zaslouží z hlediska technických kvalit dnešních akčních filmů je ovšem vysoké hodnocení původního ramba i tak evidentně hodně ovlivněné nostalgií a věkovým průměrem uživatelů celkový dojem,negative,16097
anotace nelže skutečně jde o klasickou českou komedii ovšem nutno dodat že pouze v kategorii privatizačních filmů let a i tak jde o slušný bizár divák který film dokouká si nemá na co stěžovat už první záběry na flašinetáře a nepraktovy kresby naznačí dostatečně o co půjde milovník dekadence si skutečně užije k vidění je poměrně nabité obsazení v jedné trapné scénce za druhou lehce nad vodou se drží policisté vladyka poloczek ale jinak nikdo moc nepomáhá obzvlášt podivně vyznívají výkony strýčka jedličky nebo jaroslavy hanušové osobně mám na léta hodně hezký vzpomínky takže se dívám na všechny ty tehdejší pokusy s jistou shovívavostí ale i tak se nemůžu ubránít jistého pocitu lítosti že třeba jára kohout nebo jiří sovák byli hozeni do stejného filmového pytle jako kriminálník jonák jeho angažování ve filmech ukazuje že doba byla neuvěřitelně svobodná a zábavná ale i nevkusná a zoufalá zároven a chudák skladatel šust vedle panelstory mít v seznamu tohle o tom že kriterium pro výběr hlavni postavy byla ochota svléknout se a ukázat pěkná prsa nepochybuji ani vteřinu tím směrem se taky měl producent filmu vydat vynechat děj a celou tu nepovedenou satiru a natočit s hrubešovou čistou pornografii s prostřihy na pivovar film by místo plyšového lva sklidil komerční úspěch a dnes by to byla ozdoba pornohub škoda,negative,108847
tolik slavných jmen a výsledkem je taková zpotvořenina v povídce tramvaj do poděbrad sledujeme zajímavé dobové reálie jinak je ovšem poněkud přiblblá flaša je vydojená hrají mj letá gábina oswaldová rozeřvaná cestující a letý martin dejdar bankovní lupič scénář letý f r čech režie letý václav křístek lehká společenská kritika v povídce express do bratislavy je roztomilá ale neústrojná bez vztahu k ději letý ján zachar v úzkých džínách pan karel jindříšek šéf týmu vyloženě hloupý scénář letého petra novotného režie letý jan prokop zcela nezajímavá pseudomoralita linka do prahy řeší pseudoproblémy jako když se někdo s iq rozhodne natočit výsostně intelektuální film hrají letý ondřej vetchý letá dáša veškrnová scénář letý jiří just režie letý petr šícha,negative,5346
tak konečně mám za sebou celou trilogii první díl je jednoznačně nejpřímočařejší a nejkomornější a obstojí jak samostatně tak i jako úvod celé ságy úžasný nápad geniálně formálně provedené a s filosofickou hloubkou rád bych si někde přečetl filosofickou reflexi matrixovského universa mohlo by to být zajímavé počtení v těch filmech se řeší snad všechno od noetických otázek o možnostech a způsobech lidského poznání přes vytvoření vlastního ontologického systému po problémy kauzality a otázku volby každopádně první matrix je zlomový a hrozně důležitý film kterému přiznávám velký význam a kdybych měl fetiš na ty pěkné oblečky co postavy ve filmu nosí byl by možná i mojí srdcovkou,positive,9499
když jsem to viděl poprvý a naposled ještě jsem věděl kulový kdo je mb akorát že to neni model škoda ale už tenkrát jsem si hlavu div neukroutil hodný terorista s ušlechtilými cíli a pochybnými metodami zlý terorista s méně ušlechtilými cíli a ještě pochybnějšími metodami mukl co je sice zločinec ale působí kladně velitel zásahového komanda co si napochoduje amatérsky na porážku jak v den lumíků ale ještě si s hodným teroristou přátelsky poklábosí frčky jsou halt divný no a ubohý mikulka klecovic který nakonec s kladným muklem musí zachraňovat civilizaci a ještě si přitom užít pár efektních střihů východů a západů slunce a těžce mimózní akce z mladé boleslavi už to zase pletu chci říct od majkla báje ten si svoje neodpustí takže se to celý tváří smrtelně vážně a kecy o cti od teroristy numero uno by mě snad měly rozplakat tenkrát jsem si ťukal na čelo zpětně jsem však již mnohé pochopil,negative,546
najslabší film ako superžraloka tak aj crocosaura tieto dve monštrá mali za sebou teda lepšie kúsky aj keď nie ove a tak isto aj protivníkov v mojich očiach to nebolo na odpad ale ve a k tomu nechýbalo zachránil to iba superžralok ktorý skákal z vody a vždy keď sa obtrel o loď to miesto vybuchlo keď sa o to miesto obtrel znova op ť to vybuchlo na tom istom mieste,negative,283404
tohle je ten oslavovaný werichův opus mně to přijde jak nesmělá satira na totalitní režim a taky to je golem je rudý režim a vrchnost i chudáci jsou jemu podřízeni monarchie není žádána a když se rozezní werichova budovatelská óda na to co všichni společně dokážou nazpívaná zřejmě z donucení aby to celé nezakázali nebylo co řešit hrozný film barvy ozvučení a všechno kolem v poločasu rozpadu neděkuji jsem pustil telku a náhodou to dávali krize nikdy jsem to nedodíval až nyní a o ničem snad jen herecké výkony to spasily,negative,3094
je podivně fascinující sledovat manželský pár který se hádá nechcete se do toho zapojovat a už vůbec ne určovat kdo je v právu ale je to fascinující pozorovat a říkat si sami pro sebe kdo si to v ten a ten moment zaslouží i když víte že byste neměli jeden z filmů který si za pár let musím pustit znovu,positive,7340
chudák tom berenger po zcela primitivních sniperech a jejich pokračování se upsal i takové blbosti jako byl film turbulence zcela suché hlášky a naprosto zprzněné počítačové nepočítačové triky špatné herecké výkony a prostoduchý a nedodělaný příběh dělají z tohoto pokračování jen těžko koukatelný film,negative,10780
ospravedlňujem sa ale v tomto prípade som vedel do čoho idem a presne to som dostal absurdnú komédiu a zároveň neuverite ne chabú kinematografiu tak svojbytný filmový vizuálny karcinóm som dlho nevidel efekty ktoré sa vďaka svojej magicky estetickej dysfunkčnosti sugestívne pohrávajú na jednej strane s divákovou trpezlivosťou a na strane druhej s jeho fascináciou občas sa pozeráte na obraz počujete stre bu a h a tam prázdno niekedy je na oblohe vidieť nepriate ov no zrazu v rámci ďalšieho strihu pri podobnom poh ade ich prítomnosť absentuje občas je mesto od staveniska kde sa v čšina filmu odohráva blízko občas zas ďaleko a teraz ukážka dokonalého scenáru k nám sa nikto nedostane pokia to tak my nechceme povie ne útostná kapitánka po tom čo ani nezavrie hlavnú bránu do ich sektoru tu už som vyronil slzy smiechu a za tú komediálnu linku musím hodiť dve hviezdy aj keď si objektívne uvedomujem že je to sračka najvyššieho kalibru ale ak hodnotím subjektívne tak mi to inak nedá,negative,291650
už dlouho jsem se takhle nepobavil celá rodina jsme řvali smíchy div nám netekly slzy je to příšerný film a objektivní hodnocení musí být odpad ale index zábavy je na hvězdiček je to tak krásně špatný a debilní prostě so bad it s good edit já tomu zkrátka odpad dát nemůžu alespoň jednu hvězdičku to ode mě dostane kam se na tohle hrabe the room a birdemic,negative,240892
ach první komentář který mám čas psát dokonce v průběhu samotného fipmu no ty vole tohle je vážně něco auta nemohou jet zato stromy kolem se ani nehnou rodinka jede autem a benzin nikdy nedochází to je všechno snesitelné ale ty dialogy vážně místy je to až trapné malej typek je na pecku tak dementní děcko ani nikdo mít nemůže asi začnu teda točit taky filmy jediné za co dávám je hudba a fakt že se docela dobře bavím tím že někdo takovou sra ku fakt vymyslí d,negative,331378
nezáživná céčková nuda akce skoro žádná zápletka není vůbec špatná kdyby se jí někdo ujal a natočil o tom kvalitní film tak by to šlo v lundgrenových filmografiích se najde spousty béčkových filmů které ale narozdíl od tohoto pobaví,negative,162926
hodnotím logicky níže než původní pořad protože jde pouze o sestřih toho údajně nejlepšího navíc kvůli neschopnosti tvůrců dohodnout se ohledně práv není skoro možné film vidět a do pardubic kvůli tomu fakt nepojedu,negative,4562
zatímco první díl ještě chvílemi relativně úspěšně pobavil v satiře a nadhledu a ztrácel body hlavně tím že chytrost hlavního hrdiny byla často spíše vyčůraností druhý už se v humoru zmůže jen na ty nejnižší útoky kdo má být vtipný ten huláká na celé kolo vypije litry alkoholu sežere na co přijde nebo tyto činnosti rozličně kombinuje jazyk jaroslava haška je příjemný ale v téhle humpolácké formě nemám daleko k tomu ho zatracovat,negative,8680
jedni slintají další jsou téměř na vrcholu blaženosti a euforie třetí litují tří hodin života a ohánějí se ostrými výrazy najdou se samozřejmě i tací mezi tím vším kteří zas tolik na větvi nejsou mezi takové se řadím jsou filmy jejichž kvality se těžko zpochybňují mezi ně kmotr zajisté patří ale jsou filmy které mezi zásadní mezníky světové kinematografie nepovažuji mafiánský opus s vybroušenými hereckými výkony a několika vydařenými scénami nelapal jsem po dechu neměl jsem pocit nedotknutelnosti a nedosažitelnosti přepečlivý francis ford coppola sice je nějaký strhující příběh však nenabízí takový stanley kubrick by si s ním poradil krapet líp troufám si tvrdit ps běda tomu kdo nelípne pět hvězd,positive,1644
až moc se tady vše soustřeďuje na dustina hoffmana a ten ujde ale tom cruise je mu zde překvapivě důstojným partnerem a vůbec se vedle hoffmana neztratí film je podle mě hodně přechválený a v konečném výsledku na mě působil prázdně střihačovy nůžky v některých scénách až moc zahálely a nuda se dostavovala víc než bylo zdrávo opět přechválený film,negative,5954
film zaujal už po objevení columbia pictures důležité že si nic extra nehraje a chce pobavit nutno říct že mu to daří deset let je hodně ale i tak jsou columbus tallahassee wichita a little rock v dobré kondici navíc k nim přibudou nové postavy albuquerque flagstaff nevada reno ale hlavně madison člověk si říká jak mohla přežít tak dlouho se svoji chytrostí a musí začít věřit teorii od tallahassee pak je tu pacifista berkley a komunita babylon možno číst bejbylun pěkná čsfd projekce u které jsem se dost zasmál a film má po titulkové scénky,positive,277532
říkal jsem si co na filmu postaveném pouze na rozhovoru členů poroty může být tak skvělé že je tento snímek tak vysoko ve všech možných žebříčcích nyní už to vím těm dvanácti chlapům jsem totiž doslova visel na rtech hltal každé slovo z toho brilantně sepsaného scénáře a prožíval každý parádní zvrat v jejich rozhodnutích zapříčiněný nalézáním všemožných detailních nedostatků ve výpovědích svědků,positive,6178
také jsem dělal kaskadéra protože nikdo nepřišel na můj metalový koncert na měsíci který časově kolidoval s mým toreadorským vystoupením v tokiu a mou wrestlingovou charitou pro roztomilé ufo fakt nekecám a to ani nejsem rezavá odtahovka,positive,277505
takto má vyzerať perfektný postmodernistický film neonoirový film a silný autorský film v jednom nemusíte plne pochopiť úplne všetko stačí sa nechať vtiahnuť a unášať ponurou mystickou atmosférou vrcholné lynchovo dielo cítim v ňom najviac citu z pomedzi jeho filmov a najmenšiu režisérovu túžbu po samožerstve a nemusíte hodiny pátrať po tom čo nám chcel lynch zdeliť metafory modrého zamatu temnota zhasínajúce sviečky laura dern vychádzajúca z tmy vtáčik s hmyzom sú ahšie čitate né,positive,6247
když třeba máte červený uši tak vám jako stojí symbióza ochrnutého milionáře s černým parťákem z mokré čtvrti na půdorysu skutečné události ve mně budila velké obavy naštěstí mi byl naservírován milý a lehce úsměvný snímek který mi sice rozhodně bránici smíchem nenatrhl ale pár vtípků na účet kvadroplegika si rozhodně budu pamatovat zkrátka bylo to dost dobrý ale když to srovnám s tím výletem na kokořín,positive,306731
dvojice friedberg a seltzer by si zasloužila pomalou a bolestivou smrt stejně tak carmen electra dej te jí někdo bůra ať už táhne do prdele,negative,243043
sice jednoduchý příběh není se co divit vzhledem k délce ale to zpracování je nezapomenutelné vyjímečné děsivé šokující okamžitě poznáte že jde o lynchovinu,positive,6253
david lynch coby doktor navštěvuje ženu aby ošetřil její zranění snímek pojednávající o nepříjemných a nechutných věcech silně ba přímo fyzicky působí na diváka,positive,6246
opravdu nechápu čím má tenhle film pobavit a komu je určen má naprosto vyjímečně primitivní scénář nevýrazné herecké výkony a je na něm až moc vidět že měl nízký rozpočet luděk sobota by neměl přemýšlet ani tak o tom proč mu jej recenzenti strhali jako spíše o kvalitě svých scénářů tohle je totiž ještě o něco horší než ještě větší blbec než jsme doufali u toho jsem se alespoň párkrát lehce zasmál u nebát se a nákrást jsem jen trpěl,negative,2660
neodpustím si srovnání s filmem podobného ražení se snowboarďáky podobného v uvozovkách protože tam kde karel janák exceluje ivo macharáček naprosto propadá příšerné dialogy tvůrci museli pracovat stylem říkejte co vás napadne jenže to je u dětských neherců špatně hrozné obsazení ústřední trojice by si zasloužila určitě výraznější a asi i o něco starší obsazení a ne takové vidláky a žádný děj to je to co z filmu dělá ubohost,negative,215254
francis ford coppola přivedl na svět mnoho skvělých snímků ale svým přepisem románu maria puza vytvořil dílo které patří mezi stěžejní filmy světové kinematografie ponechám stranou skvěletypově zvládnuté obsazení hercůi jejich geniálníempatické výkony ponechám stranou dokonalou filmovou kameru a obrazové ztvárnění odkazující na to nejlepší z tradice italského neorealismu jak je to je v americkém filmu možné jakož i skvělou filmovou hudbu a úžasnývypilovaný scénář zvláště pointa hrůzně očistného prozření michaelovi manželky skrze otevřené dveře sledující scénu iniciace nového kmotra je dokonalá a zaměřím se navyznění celého filmu jistě je tomafiánská ságaa přesvědčivě diváka vtáhne do zákonitostí tradičního rodového světa italské diaspory v usa čím nám ale podává svědectví o současném životě v americe a možná i u nás konfrontací tradičního rodového zřízení s pevnou ústřední rolí muže se všemi jeho bariérami sexismu rasismu pokryteckého byť hlubokého křesťanství skrytého násilí a touhy po moci a penězíchv nás nevypovídá tento film spíše než o rodině corleonových o nás samých vždyť i my jsme takoví v kruhu rodinném milí a spořádaní vzorní občané milující své blízké mimo tyto vazby však je mnohá z našich iniciativ jdoucí proti zájmům celku označována pouze jako naše věc cosa nostra kongeniální filmové dílo,positive,1644
kariéra pavla čamrdyje prvorepublikovou romantickou veselohrou nikterak výjimečnou filmová adaptace románové předlohy ignáta herrmanna jak se to jeví trpí dýchavičností haas je sice jak je jeho dobrým zvykem roztomilý a osoby do svých rolí víceméně pasují přesto je všechno jakoby napadeno disharmonií vzájemným nesouladem postav i situací vnitřní vztahy se doplňují strojeně a kostrbatě všechny karikující a satirizující tendence jsou tím příliš otupěny dramatické okamžiky i celkový veseloherní rámec tím ztrácejí svou skutečnou účinnost vše vlastně plyne vpřed v jakémsi poklidu spořádaně ba dokonce až šlechetně a z toho svého poklidu se nedostává ani v kritickém okamžiku vnitřní dění nijaké z postav zaujmou mladý písař na prahu své úřednické kariéry pavel čamrda vladimír borský jeho starší kolega s dobromyslnými sklony a osamělý kancelista vokoun hugo haas ctihodný představený císařského úřadu císařský rada alois švarc adolf dobrovolný jeho dospívající dcerka viktorka lída baarová štěstí dcerky po svém spřádající radova manželka eulalie helena monczáková zkušený úřední sluha vocápek emanuel hříbal či výhodný bratranec eulalie felix alexander třebovský kariéra pavla čamrdy to je kostrbatá zábava ignát herrmann měl v prologu bohužel pravdu když konstatoval že na něm bylo spácháno násilí,negative,5351
z moderních pohádek i když je už skoro let stará je tato ta nejhezčí sympatické postavy výborné výkony všech herců leckdy jejich nejlepší pěkně napsaný scénář prostě všechno jak má v pohádkách být,positive,821
